Locations: Source Locations
Name,     H-Coord,     X,    Y
LatLon00001, Lat-Long, 33.2578125, 7.921875
LatLon00002, Lat-Long, 33.2578125, 8.109375
LatLon00003, Lat-Long, 33.2578125, 8.296875
LatLon00004, Lat-Long, 33.5390625, 7.734375
LatLon00005, Lat-Long, 33.5390625, 7.921875
LatLon00006, Lat-Long, 33.5390625, 8.109375
LatLon00007, Lat-Long, 33.5390625, 8.296875
LatLon00008, Lat-Long, 33.8203125, 7.734375
LatLon00009, Lat-Long, 33.8203125, 7.921875
LatLon00010, Lat-Long, 33.8203125, 8.109375
LatLon00011, Lat-Long, 33.8203125, 8.296875
LatLon00012, Lat-Long, 34.1015625, -0.703125
LatLon00013, Lat-Long, 34.1015625, 0.046875
LatLon00014, Lat-Long, 34.1015625, 0.234375
LatLon00015, Lat-Long, 34.1015625, 0.421875
LatLon00016, Lat-Long, 34.1015625, 3.984375
LatLon00017, Lat-Long, 34.1015625, 4.171875
LatLon00018, Lat-Long, 34.1015625, 7.359375
LatLon00019, Lat-Long, 34.1015625, 7.546875
LatLon00020, Lat-Long, 34.1015625, 7.734375
LatLon00021, Lat-Long, 34.1015625, 7.921875
LatLon00022, Lat-Long, 34.1015625, 8.109375
LatLon00023, Lat-Long, 34.1015625, 8.296875
LatLon00024, Lat-Long, 34.1015625, 8.484375
LatLon00025, Lat-Long, 34.1015625, 8.859375
LatLon00026, Lat-Long, 34.1015625, 9.046875
LatLon00027, Lat-Long, 34.1015625, 9.234375
LatLon00028, Lat-Long, 34.1015625, 9.421875
LatLon00029, Lat-Long, 34.1015625, 9.609375
LatLon00030, Lat-Long, 34.3828125, -1.078125
LatLon00031, Lat-Long, 34.3828125, -0.890625
LatLon00032, Lat-Long, 34.3828125, -0.703125
LatLon00033, Lat-Long, 34.3828125, -0.515625
LatLon00034, Lat-Long, 34.3828125, -0.140625
LatLon00035, Lat-Long, 34.3828125, 0.046875
LatLon00036, Lat-Long, 34.3828125, 0.234375
LatLon00037, Lat-Long, 34.3828125, 0.421875
LatLon00038, Lat-Long, 34.3828125, 0.609375
LatLon00039, Lat-Long, 34.3828125, 0.796875
LatLon00040, Lat-Long, 34.3828125, 3.796875
LatLon00041, Lat-Long, 34.3828125, 3.984375
LatLon00042, Lat-Long, 34.3828125, 4.171875
LatLon00043, Lat-Long, 34.3828125, 4.359375
LatLon00044, Lat-Long, 34.3828125, 4.546875
LatLon00045, Lat-Long, 34.3828125, 6.984375
LatLon00046, Lat-Long, 34.3828125, 7.171875
LatLon00047, Lat-Long, 34.3828125, 7.359375
LatLon00048, Lat-Long, 34.3828125, 7.546875
LatLon00049, Lat-Long, 34.3828125, 7.734375
LatLon00050, Lat-Long, 34.3828125, 7.921875
LatLon00051, Lat-Long, 34.3828125, 8.109375
LatLon00052, Lat-Long, 34.3828125, 8.296875
LatLon00053, Lat-Long, 34.3828125, 8.484375
LatLon00054, Lat-Long, 34.3828125, 8.671875
LatLon00055, Lat-Long, 34.3828125, 8.859375
LatLon00056, Lat-Long, 34.3828125, 9.046875
LatLon00057, Lat-Long, 34.3828125, 9.234375
LatLon00058, Lat-Long, 34.3828125, 9.421875
LatLon00059, Lat-Long, 34.3828125, 9.609375
LatLon00060, Lat-Long, 34.3828125, 9.796875
LatLon00061, Lat-Long, 34.3828125, 9.984375
LatLon00062, Lat-Long, 34.3828125, 10.171875
LatLon00063, Lat-Long, 34.3828125, 10.359375
LatLon00064, Lat-Long, 34.3828125, 10.546875
LatLon00065, Lat-Long, 34.6640625, -1.265625
LatLon00066, Lat-Long, 34.6640625, -1.078125
LatLon00067, Lat-Long, 34.6640625, -0.890625
LatLon00068, Lat-Long, 34.6640625, -0.703125
LatLon00069, Lat-Long, 34.6640625, -0.515625
LatLon00070, Lat-Long, 34.6640625, 0.046875
LatLon00071, Lat-Long, 34.6640625, 0.234375
LatLon00072, Lat-Long, 34.6640625, 0.421875
LatLon00073, Lat-Long, 34.6640625, 0.609375
LatLon00074, Lat-Long, 34.6640625, 0.796875
LatLon00075, Lat-Long, 34.6640625, 0.984375
LatLon00076, Lat-Long, 34.6640625, 1.171875
LatLon00077, Lat-Long, 34.6640625, 3.046875
LatLon00078, Lat-Long, 34.6640625, 3.234375
LatLon00079, Lat-Long, 34.6640625, 3.421875
LatLon00080, Lat-Long, 34.6640625, 3.609375
LatLon00081, Lat-Long, 34.6640625, 3.796875
LatLon00082, Lat-Long, 34.6640625, 3.984375
LatLon00083, Lat-Long, 34.6640625, 4.171875
LatLon00084, Lat-Long, 34.6640625, 4.359375
LatLon00085, Lat-Long, 34.6640625, 4.546875
LatLon00086, Lat-Long, 34.6640625, 4.734375
LatLon00087, Lat-Long, 34.6640625, 6.796875
LatLon00088, Lat-Long, 34.6640625, 6.984375
LatLon00089, Lat-Long, 34.6640625, 7.171875
LatLon00090, Lat-Long, 34.6640625, 7.359375
LatLon00091, Lat-Long, 34.6640625, 7.546875
LatLon00092, Lat-Long, 34.6640625, 7.734375
LatLon00093, Lat-Long, 34.6640625, 7.921875
LatLon00094, Lat-Long, 34.6640625, 8.109375
LatLon00095, Lat-Long, 34.6640625, 8.296875
LatLon00096, Lat-Long, 34.6640625, 8.484375
LatLon00097, Lat-Long, 34.6640625, 8.671875
