Sources:
Name,     Set of Locations,    Location,      Z-Coord,  dH-Metres?, dZ-Metres?,       dX,       dY,       Z,      dZ,  Angle,    Source Strength, Time Dependency, Plume Rise?, Temperature, Flow Velocity,      # Particles,            Max Age, Top Hat,               Start Time,               Stop Time
Swarm00001,   Source Locations,     LatLon00001,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:43:00,     Yes,    15/01/2021 06:04:00,   15/01/2021 06:04:00
Swarm00002,   Source Locations,     LatLon00002,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:41:00,     Yes,    15/01/2021 06:05:00,   15/01/2021 06:05:00
Swarm00003,   Source Locations,     LatLon00003,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:41:00,     Yes,    15/01/2021 06:05:00,   15/01/2021 06:05:00
Swarm00004,   Source Locations,     LatLon00004,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:43:00,     Yes,    15/01/2021 06:03:00,   15/01/2021 06:03:00
Swarm00005,   Source Locations,     LatLon00005,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:42:00,     Yes,    15/01/2021 06:03:00,   15/01/2021 06:03:00
Swarm00006,   Source Locations,     LatLon00006,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:42:00,     Yes,    15/01/2021 06:03:00,   15/01/2021 06:03:00
Swarm00007,   Source Locations,     LatLon00007,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:41:00,     Yes,    15/01/2021 06:04:00,   15/01/2021 06:04:00
Swarm00008,   Source Locations,     LatLon00008,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:43:00,     Yes,    15/01/2021 06:02:00,   15/01/2021 06:02:00
Swarm00009,   Source Locations,     LatLon00009,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:42:00,     Yes,    15/01/2021 06:02:00,   15/01/2021 06:02:00
Swarm00010,   Source Locations,     LatLon00010,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:42:00,     Yes,    15/01/2021 06:02:00,   15/01/2021 06:02:00
Swarm00011,   Source Locations,     LatLon00011,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:41:00,     Yes,    15/01/2021 06:03:00,   15/01/2021 06:03:00
Swarm00012,   Source Locations,     LatLon00012,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  09:10:00,     Yes,    15/01/2021 05:47:00,   15/01/2021 05:47:00
Swarm00013,   Source Locations,     LatLon00013,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  09:07:00,     Yes,    15/01/2021 05:49:00,   15/01/2021 05:49:00
Swarm00014,   Source Locations,     LatLon00014,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  09:06:00,     Yes,    15/01/2021 05:49:00,   15/01/2021 05:49:00
Swarm00015,   Source Locations,     LatLon00015,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  09:06:00,     Yes,    15/01/2021 05:49:00,   15/01/2021 05:49:00
Swarm00016,   Source Locations,     LatLon00016,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:54:00,     Yes,    15/01/2021 05:55:00,   15/01/2021 05:55:00
Swarm00017,   Source Locations,     LatLon00017,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:54:00,     Yes,    15/01/2021 05:55:00,   15/01/2021 05:55:00
Swarm00018,   Source Locations,     LatLon00018,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:44:00,     Yes,    15/01/2021 06:00:00,   15/01/2021 06:00:00
Swarm00019,   Source Locations,     LatLon00019,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:44:00,     Yes,    15/01/2021 06:00:00,   15/01/2021 06:00:00
Swarm00020,   Source Locations,     LatLon00020,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:43:00,     Yes,    15/01/2021 06:01:00,   15/01/2021 06:01:00
Swarm00021,   Source Locations,     LatLon00021,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:42:00,     Yes,    15/01/2021 06:01:00,   15/01/2021 06:01:00
Swarm00022,   Source Locations,     LatLon00022,        m agl,         Yes,        Yes,      0.1,      0.1,    10.0,     0.1,    0.0,        SWARM 1.0 g,                ,          No,         0.0,           0.0, 1000,  08:42:00,     Yes,    15/01/2021 06:01:00,   15/01/2021 06:01:00
